
 a1 =  10.171856963   0.000000000   0.000000000
 a2 =   0.000000000  10.171856963   0.000000000
 a3 =   0.000000000   0.000000000  10.171856963

 b1 =   0.617702877   0.000000000   0.000000000
 b2 =   0.000000000   0.617702877   0.000000000
 b3 =   0.000000000   0.000000000   0.617702877

 volume = 1052.448209136

 cutoff = 10.000000000

 grid = ( 11 11 11 ) -- minimal
        ( 11 11 11 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 12 12 12 ) -- factors 2, 3, 5

 ng = 587

     n   g1    g2    g3     gx        gy        gz        ekin
   412    -1     4    -2    -0.618     2.471    -1.235     8.012693721
   413    -1     4     2    -0.618     2.471     1.235     8.012693721
   414     1    -4    -2     0.618    -2.471    -1.235     8.012693721
   415     1    -4     2     0.618    -2.471     1.235     8.012693721
   416     1    -2    -4     0.618    -1.235    -2.471     8.012693721
   417     1    -2     4     0.618    -1.235     2.471     8.012693721
   418     1     2    -4     0.618     1.235    -2.471     8.012693721
   419     1     2     4     0.618     1.235     2.471     8.012693721
   420     1     4    -2     0.618     2.471    -1.235     8.012693721
   421     1     4     2     0.618     2.471     1.235     8.012693721
   422     2    -4    -1     1.235    -2.471    -0.618     8.012693721
   423     2    -4     1     1.235    -2.471     0.618     8.012693721
   424     2    -1    -4     1.235    -0.618    -2.471     8.012693721
   425     2    -1     4     1.235    -0.618     2.471     8.012693721
   426     2     1    -4     1.235     0.618    -2.471     8.012693721
   427     2     1     4     1.235     0.618     2.471     8.012693721
   428     2     4    -1     1.235     2.471    -0.618     8.012693721
   429     2     4     1     1.235     2.471     0.618     8.012693721
   430     4    -2    -1     2.471    -1.235    -0.618     8.012693721
   431     4    -2     1     2.471    -1.235     0.618     8.012693721
   432     4    -1    -2     2.471    -0.618    -1.235     8.012693721
   433     4    -1     2     2.471    -0.618     1.235     8.012693721
   434     4     1    -2     2.471     0.618    -1.235     8.012693721
   435     4     1     2     2.471     0.618     1.235     8.012693721
   436     4     2    -1     2.471     1.235    -0.618     8.012693721
   437     4     2     1     2.471     1.235     0.618     8.012693721
   438    -3    -3    -2    -1.853    -1.853    -1.235     8.394250565
   439    -3    -3     2    -1.853    -1.853     1.235     8.394250565
   440    -3    -2    -3    -1.853    -1.235    -1.853     8.394250565
   441    -3    -2     3    -1.853    -1.235     1.853     8.394250565
   442    -3     2    -3    -1.853     1.235    -1.853     8.394250565
   443    -3     2     3    -1.853     1.235     1.853     8.394250565
   444    -3     3    -2    -1.853     1.853    -1.235     8.394250565
   445    -3     3     2    -1.853     1.853     1.235     8.394250565
   446    -2    -3    -3    -1.235    -1.853    -1.853     8.394250565
   447    -2    -3     3    -1.235    -1.853     1.853     8.394250565
   448    -2     3    -3    -1.235     1.853    -1.853     8.394250565
   449    -2     3     3    -1.235     1.853     1.853     8.394250565
   450     2    -3    -3     1.235    -1.853    -1.853     8.394250565
   451     2    -3     3     1.235    -1.853     1.853     8.394250565
   452     2     3    -3     1.235     1.853    -1.853     8.394250565
   453     2     3     3     1.235     1.853     1.853     8.394250565
   454     3    -3    -2     1.853    -1.853    -1.235     8.394250565
   455     3    -3     2     1.853    -1.853     1.235     8.394250565
   456     3    -2    -3     1.853    -1.235    -1.853     8.394250565
   457     3    -2     3     1.853    -1.235     1.853     8.394250565
   458     3     2    -3     1.853     1.235    -1.853     8.394250565
   459     3     2     3     1.853     1.235     1.853     8.394250565
   460     3     3    -2     1.853     1.853    -1.235     8.394250565
   461     3     3     2     1.853     1.853     1.235     8.394250565
   462    -4    -2    -2    -2.471    -1.235    -1.235     9.157364252
   463    -4    -2     2    -2.471    -1.235     1.235     9.157364252
   464    -4     2    -2    -2.471     1.235    -1.235     9.157364252
   465    -4     2     2    -2.471     1.235     1.235     9.157364252
   466    -2    -4    -2    -1.235    -2.471    -1.235     9.157364252
   467    -2    -4     2    -1.235    -2.471     1.235     9.157364252
   468    -2    -2    -4    -1.235    -1.235    -2.471     9.157364252
   469    -2    -2     4    -1.235    -1.235     2.471     9.157364252
   470    -2     2    -4    -1.235     1.235    -2.471     9.157364252
   471    -2     2     4    -1.235     1.235     2.471     9.157364252
   472    -2     4    -2    -1.235     2.471    -1.235     9.157364252
   473    -2     4     2    -1.235     2.471     1.235     9.157364252
   474     2    -4    -2     1.235    -2.471    -1.235     9.157364252
   475     2    -4     2     1.235    -2.471     1.235     9.157364252
   476     2    -2    -4     1.235    -1.235    -2.471     9.157364252
   477     2    -2     4     1.235    -1.235     2.471     9.157364252
   478     2     2    -4     1.235     1.235    -2.471     9.157364252
   479     2     2     4     1.235     1.235     2.471     9.157364252
   480     2     4    -2     1.235     2.471    -1.235     9.157364252
   481     2     4     2     1.235     2.471     1.235     9.157364252
   482     4    -2    -2     2.471    -1.235    -1.235     9.157364252
   483     4    -2     2     2.471    -1.235     1.235     9.157364252
   484     4     2    -2     2.471     1.235    -1.235     9.157364252
   485     4     2     2     2.471     1.235     1.235     9.157364252
   486    -5     0     0    -3.089     0.000     0.000     9.538921096
   487    -4    -3     0    -2.471    -1.853     0.000     9.538921096
   488    -4     0    -3    -2.471     0.000    -1.853     9.538921096
   489    -4     0     3    -2.471     0.000     1.853     9.538921096
   490    -4     3     0    -2.471     1.853     0.000     9.538921096
   491    -3    -4     0    -1.853    -2.471     0.000     9.538921096
   492    -3     0    -4    -1.853     0.000    -2.471     9.538921096
   493    -3     0     4    -1.853     0.000     2.471     9.538921096
   494    -3     4     0    -1.853     2.471     0.000     9.538921096
   495     0    -5     0     0.000    -3.089     0.000     9.538921096
   496     0    -4    -3     0.000    -2.471    -1.853     9.538921096
   497     0    -4     3     0.000    -2.471     1.853     9.538921096
   498     0    -3    -4     0.000    -1.853    -2.471     9.538921096
   499     0    -3     4     0.000    -1.853     2.471     9.538921096
   500     0     0    -5     0.000     0.000    -3.089     9.538921096
   501     0     0     5     0.000     0.000     3.089     9.538921096
   502     0     3    -4     0.000     1.853    -2.471     9.538921096
   503     0     3     4     0.000     1.853     2.471     9.538921096
   504     0     4    -3     0.000     2.471    -1.853     9.538921096
   505     0     4     3     0.000     2.471     1.853     9.538921096
   506     0     5     0     0.000     3.089     0.000     9.538921096
   507     3    -4     0     1.853    -2.471     0.000     9.538921096
   508     3     0    -4     1.853     0.000    -2.471     9.538921096
   509     3     0     4     1.853     0.000     2.471     9.538921096
   510     3     4     0     1.853     2.471     0.000     9.538921096
   511     4    -3     0     2.471    -1.853     0.000     9.538921096
   512     4     0    -3     2.471     0.000    -1.853     9.538921096
   513     4     0     3     2.471     0.000     1.853     9.538921096
   514     4     3     0     2.471     1.853     0.000     9.538921096
   515     5     0     0     3.089     0.000     0.000     9.538921096
   516    -5    -1     0    -3.089    -0.618     0.000     9.920477940
   517    -5     0    -1    -3.089     0.000    -0.618     9.920477940
   518    -5     0     1    -3.089     0.000     0.618     9.920477940
   519    -5     1     0    -3.089     0.618     0.000     9.920477940
   520    -4    -3    -1    -2.471    -1.853    -0.618     9.920477940
   521    -4    -3     1    -2.471    -1.853     0.618     9.920477940
   522    -4    -1    -3    -2.471    -0.618    -1.853     9.920477940
   523    -4    -1     3    -2.471    -0.618     1.853     9.920477940
   524    -4     1    -3    -2.471     0.618    -1.853     9.920477940
   525    -4     1     3    -2.471     0.618     1.853     9.920477940
   526    -4     3    -1    -2.471     1.853    -0.618     9.920477940
   527    -4     3     1    -2.471     1.853     0.618     9.920477940
   528    -3    -4    -1    -1.853    -2.471    -0.618     9.920477940
   529    -3    -4     1    -1.853    -2.471     0.618     9.920477940
   530    -3    -1    -4    -1.853    -0.618    -2.471     9.920477940
   531    -3    -1     4    -1.853    -0.618     2.471     9.920477940
   532    -3     1    -4    -1.853     0.618    -2.471     9.920477940
   533    -3     1     4    -1.853     0.618     2.471     9.920477940
   534    -3     4    -1    -1.853     2.471    -0.618     9.920477940
   535    -3     4     1    -1.853     2.471     0.618     9.920477940
   536    -1    -5     0    -0.618    -3.089     0.000     9.920477940
   537    -1    -4    -3    -0.618    -2.471    -1.853     9.920477940
   538    -1    -4     3    -0.618    -2.471     1.853     9.920477940
   539    -1    -3    -4    -0.618    -1.853    -2.471     9.920477940
   540    -1    -3     4    -0.618    -1.853     2.471     9.920477940
   541    -1     0    -5    -0.618     0.000    -3.089     9.920477940
   542    -1     0     5    -0.618     0.000     3.089     9.920477940
   543    -1     3    -4    -0.618     1.853    -2.471     9.920477940
   544    -1     3     4    -0.618     1.853     2.471     9.920477940
   545    -1     4    -3    -0.618     2.471    -1.853     9.920477940
   546    -1     4     3    -0.618     2.471     1.853     9.920477940
   547    -1     5     0    -0.618     3.089     0.000     9.920477940
   548     0    -5    -1     0.000    -3.089    -0.618     9.920477940
   549     0    -5     1     0.000    -3.089     0.618     9.920477940
   550     0    -1    -5     0.000    -0.618    -3.089     9.920477940
   551     0    -1     5     0.000    -0.618     3.089     9.920477940
   552     0     1    -5     0.000     0.618    -3.089     9.920477940
   553     0     1     5     0.000     0.618     3.089     9.920477940
   554     0     5    -1     0.000     3.089    -0.618     9.920477940
   555     0     5     1     0.000     3.089     0.618     9.920477940
   556     1    -5     0     0.618    -3.089     0.000     9.920477940
   557     1    -4    -3     0.618    -2.471    -1.853     9.920477940
   558     1    -4     3     0.618    -2.471     1.853     9.920477940
   559     1    -3    -4     0.618    -1.853    -2.471     9.920477940
   560     1    -3     4     0.618    -1.853     2.471     9.920477940
   561     1     0    -5     0.618     0.000    -3.089     9.920477940
   562     1     0     5     0.618     0.000     3.089     9.920477940
   563     1     3    -4     0.618     1.853    -2.471     9.920477940
   564     1     3     4     0.618     1.853     2.471     9.920477940
   565     1     4    -3     0.618     2.471    -1.853     9.920477940
   566     1     4     3     0.618     2.471     1.853     9.920477940
   567     1     5     0     0.618     3.089     0.000     9.920477940
   568     3    -4    -1     1.853    -2.471    -0.618     9.920477940
   569     3    -4     1     1.853    -2.471     0.618     9.920477940
   570     3    -1    -4     1.853    -0.618    -2.471     9.920477940
   571     3    -1     4     1.853    -0.618     2.471     9.920477940
   572     3     1    -4     1.853     0.618    -2.471     9.920477940
   573     3     1     4     1.853     0.618     2.471     9.920477940
   574     3     4    -1     1.853     2.471    -0.618     9.920477940
   575     3     4     1     1.853     2.471     0.618     9.920477940
   576     4    -3    -1     2.471    -1.853    -0.618     9.920477940
   577     4    -3     1     2.471    -1.853     0.618     9.920477940
   578     4    -1    -3     2.471    -0.618    -1.853     9.920477940
   579     4    -1     3     2.471    -0.618     1.853     9.920477940
   580     4     1    -3     2.471     0.618    -1.853     9.920477940
   581     4     1     3     2.471     0.618     1.853     9.920477940
   582     4     3    -1     2.471     1.853    -0.618     9.920477940
   583     4     3     1     2.471     1.853     0.618     9.920477940
   584     5    -1     0     3.089    -0.618     0.000     9.920477940
   585     5     0    -1     3.089     0.000    -0.618     9.920477940
   586     5     0     1     3.089     0.000     0.618     9.920477940
   587     5     1     0     3.089     0.618     0.000     9.920477940

